Index	Name_Teigtasche	Name_Landesprache	Landesindex	Zubereitungsart	Beschaffenheit	Verspeisungsart	Besonderes	Info	Link	Description
79	Punjabi Potato Samosa	पंजाबी आलू समोसा	59	fritiert	mit Kartoffeln und Gemüse gefüllt	Pur_ mit chutney	na	Klassisches indische Streetfood	https://www.indianhealthyrecipes.com/samosa-recipe-make-samosa/	Punjabi Potato Samosa sind knusprige_ dreieckige Teigtaschen_ die mit einer würzigen Füllung aus Kartoffeln_ Erbsen und einer Vielzahl von Gewürzen wie Kreuzkümmel_ Koriander und Garam Masala gefüllt sind. Der Teig wird zu kleinen Dreiecken geformt_ die dann frittiert werden_ bis sie goldbraun und knusprig sind. Diese Samosas sind in der nordindischen Küche sehr beliebt_ besonders in der Punjab-Region_ und werden oft als Snack oder Vorspeise serviert. Sie sind bekannt für ihre aromatische Füllung und die knusprige Textur_ und werden häufig mit einem frischen Minz- oder Tamarindendip genossen.
80	Bakpao	Bakpao	60	dampfgegart	brötchenählicher Knödel mit variabler füllung meist fleischhaltiger Füllung	Pur_ mit Dipp	na	Indosnesischer STreetfood	https://www.chefkoch.de/rezepte/1510741256404048/Bak-pao.html	Bakpao sind weiche_ gedämpfte Teigtaschen_ die ursprünglich aus der chinesischen Küche stammen und heute in vielen asiatischen Ländern beliebt sind. Der Teig ist flauschig und wird aus Weizenmehl_ Hefe und Zucker hergestellt. Bakpao sind mit einer Vielzahl von Füllungen gefüllt_ wie zum Beispiel gewürztem Schweinefleisch_ Hühnchen_ Gemüse oder sogar süßem Bohnenpaste. Die Teigtaschen werden sorgfältig verschlossen und gedämpft_ bis sie zart und leicht sind. Bakpao sind ein beliebter Snack oder ein leichtes Mittagessen_ und bekannt für ihre saftige Füllung und den weichen_ luftigen Teig.
81	Lumpia	Lumpia	60	fritiert	variable gefüllter Blätterteig	mit Dipp	na	Indonesische Frühlingsrolle	https://www.indonesischkochen.com/2014/02/lumpia-vegetarisch.html	Lumpia sind knusprige Frühlingsrollen_ die mit einer Vielzahl von Füllungen wie Hackfleisch_ Garnelen_ Gemüse und Gewürzen gefüllt sind. Der Teig wird dünn ausgerollt und dann zu kleinen Rollen geformt_ die in heißem Öl frittiert werden_ bis sie goldbraun und knusprig sind. Lumpia werden oft als Snack oder Vorspeise serviert und sind ein beliebtes Streetfood in Indonesien. Sie sind bekannt für ihre knusprige Außenschicht und die saftige_ aromatische Füllung und werden häufig mit einer süßen oder scharfen Dipsauce serviert.
82	Lemper ayam	Lemper ayam	60	gedäpft	gedämpfter Reis mit gewürtztem Huhn gefüllt 	Pur_ als Snack	na	Indonesischer Snack	https://www.indonesischkochen.com/2015/02/klebreis-mit-huhnerfleich-fullung.html	Lemper Ayam ist ein traditionelles indonesisches Gericht_ das aus Klebreis besteht_ der mit einer würzigen Füllung aus Hühnerfleisch_ Kokosnuss und Gewürzen wie Kurkuma und Zitronengras gefüllt ist. Der Reis wird in Bananenblätter gewickelt und dann gedämpft_ bis er zart und aromatisch ist. Lemper Ayam ist ein beliebter Snack oder eine Mahlzeit in Indonesien und wird oft bei Festen oder als Straßenessen serviert. Es ist für seine Kombination aus weichem_ klebrigem Reis und der herzhaften_ würzigen Füllung bekannt und bietet einen einzigartigen Geschmack der indonesischen Küche.
83	Kubbeh	Kubbeh / كبة	61	gekocht	variable gefüllter Dumpling	als Suppeneinlage	na	Teil eines irakischen Suppengerichtes	https://veredguttman.com/iraqi-kurdish-kibbeh-beef-stuffed-dumplings-in-beet-soup/	Kubbeh ist ein traditionelles Gericht aus der nahöstlichen Küche_ das aus bulgur oder Reis besteht und mit einer würzigen Füllung aus Hackfleisch_ Zwiebeln_ Nüssen und Gewürzen wie Zimt und Muskatnuss gefüllt ist. Der Teig wird zu kleinen Bällchen oder ovalen Formen geformt und dann entweder frittiert_ gebacken oder in einer Brühe gekocht_ je nach regionaler Variation. Kubbeh wird oft als Snack oder Hauptgericht serviert und ist bekannt für seine zarte_ aromatische Füllung und die knusprige oder weiche Textur des Teigs. Es ist besonders in Ländern wie Syrien_ Libanon_ Irak und anderen Ländern des Nahen Ostens beliebt.
84	Persische Manti	مانتی	62	gekocht	mit fleisch oder Käse gefüllt	mit Joghurt und Soße	na	Persiche version der Mantu	https://cookpad.com/uk/recipes/2788685-manti-persian-dumpling	Persische Manti sind kleine_ gefüllte Teigtaschen aus der iranischen Küche_ die traditionell mit einer Füllung aus gewürztem Hackfleisch_ Zwiebeln und Gewürzen wie Kurkuma_ Kreuzkümmel und Pfeffer gefüllt sind. Der Teig wird dünn ausgerollt_ in kleine Rechtecke geschnitten und dann zu Taschen geformt_ die im Dampf oder im Ofen gegart werden. Manti werden oft mit Joghurt und einer Knoblauchsauce serviert und sind ein beliebtes Gericht für festliche Anlässe oder als herzhaftes Mittagessen. Sie sind bekannt für ihre zarte Textur und die aromatische_ saftige Füllung.
85	Jambons	siamban	63	gebacken	mit Kochschinken und Käse gefüllter Blätterteig	Pur	na	Irisches Gebäck	https://ourbestbites.com/ham-and-cheese-pastries-irish-jambon-recipe/	Jambons aus Irland sind köstliche_ gefüllte Teigtaschen_ die typischerweise mit einer Mischung aus Schinken_ Käse und manchmal auch Senf gefüllt sind. Der Teig wird aus Blätterteig oder einem ähnlichen Teig hergestellt_ der die Füllung umschließt und dann goldbraun und knusprig gebacken wird. Jambons sind in Irland ein beliebter Snack oder ein leichtes Mittagessen_ besonders in Bäckereien und Cafés. Sie sind bekannt für ihre herzhafte_ schmackhafte Füllung und die knusprige Textur des Teigs_ der sich hervorragend mit der salzigen Schinkenfüllung ergänzt.
86	Kreplach	קרעפּלעך	65	gekocht	variable gefüllte Nudelartige Teigtasche	in Brühe oder Suppe	na	Israelische Teigtasche	https://veredguttman.com/kreplach-ashkenazi-dumplings/	Kreplach sind traditionelle jüdische Teigtaschen_ die oft mit einer Füllung aus Hackfleisch_ Geflügel oder Kartoffeln gefüllt sind. Der Teig wird dünn ausgerollt_ in kleine Quadrate geschnitten und dann mit der Füllung belegt_ bevor sie zu kleinen Taschen gefaltet und entweder gekocht oder frittiert werden. Kreplach werden häufig zu Festen oder besonderen Anlässen serviert_ wie zum Beispiel während des jüdischen Neujahrsfestes oder am Purim-Tag. Sie sind bekannt für ihre zarte Textur und die herzhafte_ saftige Füllung und werden oft in Brühe serviert oder als Snack genossen.
87	Calzone	Calzone	66	gebacken	gefüllter Pizzateig	Pur	größte Teigtasche der Welt ohne übergrößen	Italienische Pizzarvariation	https://www.koch-mit.de/kueche/calzone/	Calzone ist ein italienisches Gericht_ das aus einem gefalteten Pizzateig besteht_ der mit einer Vielzahl von Füllungen gefüllt ist_ darunter Tomaten_ Käse_ Schinken und manchmal auch Gemüse oder Wurst. Der Teig wird zu einem Halbmond gefaltet und dann im Ofen gebacken_ bis er goldbraun und knusprig ist. Calzone wird oft als herzhaftes Mittagessen oder Abendessen serviert und ist besonders in Italien und weltweit beliebt. Die Kombination aus dem knusprigen Teig und der schmelzenden_ würzigen Füllung macht Calzone zu einem leckeren und sättigenden Gericht.
88	Ravioli	Ravioli	66	gekocht	gefüllter Nudelteig	in Soße	na	Speziell gefaltete Nudel aus Italien	https://www.gustini.de/blog/rezept-italien/ravioli-selber-machen/?srsltid=AfmBOoptNU5eTNC5t2I8YILhSOltyoMur_Dyf9CQQbzLkQMpTknXTzPL	Ravioli sind italienische Teigtaschen_ die mit einer Vielzahl von Füllungen wie Fleisch_ Käse_ Spinat oder Pilzen gefüllt sind. Der Teig wird aus Hartweizengrieß oder Mehl und Wasser hergestellt_ dünn ausgerollt und dann in kleinen Quadraten oder Kreisen geschnitten. Die Füllung wird in die Mitte gelegt_ und die Teigränder werden zusammengepresst_ um kleine Taschen zu bilden. Ravioli werden in heißem Wasser gekocht und oft mit einer Sauce wie Tomatensauce_ Butter oder Pesto serviert. Sie sind bekannt für ihre zarte Textur und die schmackhafte_ abwechslungsreiche Füllung und gelten als ein klassisches italienisches Gericht.
89	Tortellini	Tortellini	66	gekocht	gefüllter Nudelteig	in Soße	na	Nudeltaschen aus Italien	https://de.giallozafferano.com/rezepte/Tortellini.html	Tortellini sind kleine_ ringförmige Teigtaschen aus der italienischen Küche_ die traditionell mit einer Füllung aus Fleisch_ Käse oder einer Kombination beider gefüllt sind. Der Teig wird dünn ausgerollt_ in kleine Quadrate geschnitten und dann mit der Füllung belegt. Die Ränder werden zusammengepresst_ um kleine Riegel zu formen_ die dann zu einem Ring zusammengeklappt werden. Tortellini werden meistens in Brühe oder mit einer Sauce serviert und sind bekannt für ihre zarte Textur und die geschmackvolle_ herzhaft gefüllte Füllung. Sie sind ein beliebtes Gericht in Italien_ besonders in der Region Emilia-Romagna.
90	Panzerotti	Panzerotto	66	fritiert	mit Tomate und Mozzarella gefüllter Hefeteig	Pur	na	Fritierte Calzone in Miniform	https://de.giallozafferano.com/rezepte/Frittierte-Panzerotti-Calzoni.html	Panzerotti sind gefüllte Teigtaschen aus der italienischen Küche_ die ähnlich wie kleine Calzone aussehen. Der Teig wird aus Weizenmehl_ Wasser und Hefe hergestellt und mit verschiedenen Zutaten gefüllt_ darunter Tomaten_ Mozzarella und manchmal auch Schinken oder Salami. Nachdem die Teigtaschen mit der Füllung belegt wurden_ werden sie zu kleinen Taschen gefaltet und dann entweder frittiert oder gebacken_ bis sie goldbraun und knusprig sind. Panzerotti sind besonders in Süditalien beliebt_ vor allem in Apulien_ und werden oft als Snack oder schnelles Mittagessen serviert. Sie sind bekannt für ihre knusprige Außenhülle und die saftige_ schmelzende Füllung.
91	Jamaikanische Patties	Jamaican Patty	67	gebacken	gefüllte Teigtasche	Pur_ mit Dipp	na	Pastetenähnliche Teigtasche aus Jamaika	https://touchinjamaica.com/2022/11/05/rezept-fuer-jamaikanische-patties/	Jamaikanische Patties sind würzige_ gebackene Teigtaschen_ die traditionell mit einer Füllung aus gewürztem Hackfleisch_ wie Rind oder Huhn_ gefüllt sind. Der Teig ist leicht schuppig und wird in leuchtendem Gelb gefärbt_ oft mit Hilfe von Kurkuma. Die Patties werden entweder im Ofen gebacken oder manchmal frittiert_ bis sie goldbraun und knusprig sind. Jamaikanische Patties sind ein beliebter Snack oder eine schnelle Mahlzeit und sind bekannt für ihren würzigen_ intensiven Geschmack und die saftige_ aromatische Füllung. Sie werden häufig mit einer Vielzahl von Dips oder Saucen serviert und sind ein wichtiger Bestandteil der jamaikanischen Küche.
92	Gyoza	餃子	68	gebraten und dampfgegart	mit Schweinefleisch und Kohl gefüllte mit Ingwer gewürzte Teigtascje	mit Dipp	na	Die wohl bekantesteTeigtasche aus Japan	https://www.malteskitchen.de/gyoza-schweinefleisch/	Gyoza sind japanische Teigtaschen_ die traditionell mit einer Füllung aus Hackfleisch (meistens Schweinefleisch)_ Kohl_ Knoblauch und Ingwer gefüllt sind. Der Teig wird dünn ausgerollt_ und die Füllung wird in kleinen Portionen auf den Teig gelegt_ bevor die Taschen zusammengefaltet und versiegelt werden. Gyoza werden in der Regel leicht angebraten und dann in etwas Wasser gedämpft_ sodass sie eine knusprige Unterseite und eine zarte_ weiche Oberseite haben. Sie werden oft mit einer Sojasauce-Dip serviert und sind ein beliebtes Gericht in Japan_ besonders als Vorspeise oder Snack. Die Kombination aus knuspriger Textur und würziger Füllung macht Gyoza zu einem köstlichen Leckerbissen.
93	na	na	69	na	na	na	na	na	na	na
94	Shishbarak / Joshpara	ششبرك	70	gekocht	mit fleisch gefüllter Dumpling	Joghurtsoße	na	Jordanische version der im arabischen Raum verbreiten Teigtasche	https://www.kamune.de/blogs/rezepte/shishbarak?srsltid=AfmBOooeFYtI1Jo_M7jYCke1OhoaAcfwTQ-PjqgjG0oAMX6zwwVVNA0X	Shish Barak aus Jordanien ist ein traditionelles Gericht_ das aus kleinen_ gefüllten Teigtaschen besteht_ die mit einer Mischung aus gewürztem Hackfleisch_ Zwiebeln und Gewürzen wie Zimt_ Pfeffer und Pinienkernen gefüllt sind. Diese Teigtaschen werden in einer aromatischen Joghurtsoße gekocht_ die mit Knoblauch_ Minze und weiteren Gewürzen verfeinert wird. Das Gericht ist in der jordanischen Küche sehr beliebt und wird oft als Hauptgericht oder bei festlichen Anlässen serviert. Shish Barak ist bekannt für die perfekte Kombination aus der zarten_ saftigen Füllung und der cremigen_ würzigen Joghurtsoße_ die das Gericht besonders geschmackvoll macht.
95	Num ansom	នំអន្សម	71	dampfgegart / gegrillt / fritiert	zylindrische Reiskuchen gefüllt mit Bananen	Pur	na	Kamdodschanischer Snack	https://amcarmenskitchen.com/2021/02/24/num-ansom-chek-rolled-banana-rice-cake/	Num Ansom ist ein traditionelles kambodschanisches Gericht_ das aus gefüllten Reisbällchen besteht_ die in Bananenblätter gewickelt und dann gedämpft werden. Die Füllung besteht oft aus einer Mischung aus Schweinefleisch_ Knoblauch_ Zwiebeln und Gewürzen_ aber es gibt auch Varianten mit Gemüse oder Süßkartoffeln. Der Teig wird aus klebrigem Reis hergestellt_ der den Bällchen eine weiche_ zähe Textur verleiht. Num Ansom wird häufig bei festlichen Anlässen oder als Snack serviert und ist für seinen herzhaften Geschmack und die zarte_ aber feste Textur bekannt.
96	na	na	72	na	na	na	na	na	na	na
97	Tourtière	Tourtière	73	gebacken	Canadisch-Französische Fleischpastete	mit Sößschen	na	Canadische version einer französischen Pastete aus Quebec	https://www.lecker.de/tourtiere-kanadische-fleisch-pastete-36170.html	Tourtière ist ein traditionelles kanadisches Gericht_ das besonders in der französischsprachigen Region Québec beliebt ist. Es handelt sich um eine herzhafte Pastete_ die mit einer Mischung aus gewürztem Hackfleisch_ meist Schweinefleisch oder Rindfleisch_ sowie Zwiebeln und verschiedenen Gewürzen wie Zimt_ Nelken und Muskatnuss gefüllt ist. Der Teig wird zu einer dicken Schicht ausgerollt_ die die Füllung umhüllt und dann im Ofen gebacken wird_ bis sie goldbraun und knusprig ist. Tourtière wird oft zu besonderen Anlässen oder Festlichkeiten serviert und ist für ihren reichen_ würzigen Geschmack und die zarte_ buttrige Teighülle bekannt.
98	Chamuças	Chamuças	74	fritiert	wie Samosa	mit Dipp	na	Kap Verde version der Samosa	https://www.fernwehkueche.de/chamucas-frittierte-hack-teigtaschen/	Chamuças sind würzige Teigtaschen_ die in vielen Ländern Südasien und Afrika beliebt sind. Sie bestehen aus einem dünnen Teig_ der mit einer Füllung aus gewürztem Hackfleisch_ Gemüse oder Hülsenfrüchten gefüllt ist. Die Füllung wird oft mit Gewürzen wie Kreuzkümmel_ Kurkuma und Koriander gewürzt. Nachdem der Teig mit der Füllung gefüllt und zu Dreiecken oder anderen Formen gefaltet wurde_ werden die Chamuças frittiert_ bis sie goldbraun und knusprig sind. Sie sind besonders als Snack oder Vorspeise beliebt und werden oft mit scharfen Saucen oder Joghurt serviert. Chamuças sind bekannt für ihren intensiven Geschmack und die knusprige Textur.
99	Kasachische Mänti	Манты	75	dampfgegart	gefüllt mit Hack aus Lamm und Rind	mit Saurersane_ Schmand_ Essigsauße	Traditionell in einem Mäntı-Qasqan gegart	Kasachische version der Manti	https://aus-meinem-kochtopf.de/manty-aus-kasachstan/	Kasachische Mänti sind gedämpfte Teigtaschen_ die mit einer würzigen Füllung aus Hackfleisch (meist Lamm oder Rind)_ Zwiebeln und Gewürzen wie Pfeffer und Koriander gefüllt sind. Der Teig wird dünn ausgerollt_ in kleine Rechtecke oder Kreise geschnitten und dann mit der Füllung belegt. Die Teigtaschen werden zu kleinen Bündeln gefaltet und in einem speziellen Dampfgarer gegart_ bis sie zart und weich sind. Kasachische Mänt sind ein traditionelles Gericht der kasachischen Küche und werden oft zu Festen oder als Hauptgericht serviert. Sie sind bekannt für ihre saftige Füllung und die weiche_ zarte Textur.
100	na	na	76	na	na	na	na	na	na	na
101	na	na	77	na	na	na	na	na	na	na
102	Manty	Манты	78	gekocht	gefüllt mit Lamm oder Pferd	Mit Joghurtsauce und Paprikabutter	na	Kirgisische Version der Manti	https://raspberrysue.wordpress.com/2016/04/08/manti-in-joghurtsauce/	Manty aus Kirgistan sind traditionelle_ gedämpfte Teigtaschen_ die mit einer Mischung aus Hackfleisch (oft Rind oder Lamm)_ Zwiebeln und Gewürzen wie Pfeffer_ Kreuzkümmel und Koriander gefüllt sind. Der Teig wird dünn ausgerollt_ in kleine Quadrate oder Kreise geschnitten und mit der Füllung belegt. Die Teigtaschen werden zu kleinen Bündeln gefaltet und in einem speziellen Dampfgarer gegart_ bis sie zart und saftig sind. Manty werden in Kirgistan häufig als Hauptgericht serviert und sind bekannt für ihre reichhaltige_ würzige Füllung und die weiche_ saftige Textur. Sie werden oft mit einer würzigen Soße oder Joghurt serviert.
103	na	na	79	na	na	na	na	na	na	na
104	Arepas de huevo	Arepas de huevo	80	fritiert	mit Ei gefüllte Maisfladen	Pur_ mit Dipp	na	Kolumbianische Teigtasche	https://www.mycolombianrecipes.com/arepa-filled-with-egg-arepa-de-huevo/	Arepas de Huevo sind ein traditionelles Gericht aus Kolumbien_ das aus einer frittierten Maisteigtasche besteht_ die mit einem ganzen Ei gefüllt ist. Der Teig wird aus Maismehl hergestellt und zu kleinen flachen Scheiben geformt. Diese werden in heißem Öl frittiert_ wobei das Ei in die Mitte der Arepa eingeführt wird_ bevor sie vollständig frittiert wird. Das Ergebnis ist eine knusprige Außenschicht mit einer weichen_ saftigen Füllung aus Ei. Arepas de Huevo sind ein beliebter Snack oder Frühstück in Kolumbien_ besonders in Küstengebieten und werden oft mit einer Salsa oder anderen Beilagen serviert.
105	na	na	81	na	na	na	na	na	na	na
106	na	na	82	na	na	na	na	na	na	na
107	na	na	83	na	na	na	na	na	na	na
108	na	na	84	na	na	na	na	na	na	na
109	Mandu	만두	85	dampfgegart	mit Glasnudeln_ Fleisch und Kohl gefüllt	mit Soße	na	Koreanischer Dumpling	https://www.beyondkimchee.com/mandu-korean-dumplings/	Mandu sind traditionelle koreanische Teigtaschen_ die mit einer Vielzahl von Füllungen wie Hackfleisch (meist Schweinefleisch oder Rindfleisch)_ Gemüse und Tofu gefüllt sind. Der Teig wird dünn ausgerollt_ und die Füllung wird in kleinen Portionen darauf gelegt_ bevor die Teigtaschen zusammengeklappt und versiegelt werden. Mandu können entweder gedämpft_ gebraten oder in einer Brühe gekocht werden. Sie werden oft mit einer Sojasauce oder einer scharfen Dip-Sauce serviert. Mandu sind ein beliebtes Gericht in der koreanischen Küche_ bekannt für ihre zarte Textur und die aromatische Füllung_ die sowohl herzhaft als auch geschmackvoll ist.
110	na	na	86	na	na	Pur	na	na	na	na
111	Strukli	Zagorski štrukli	87	gekocht_gebacken	herzhaft	mit saurer Sahne	na	na	https://www.kochbar.de/rezept/416479/Strukli-kroatisch.html	Štrukli ist ein traditionelles kroatisches Gericht_ das aus dünnen Teigblättern besteht_ die mit einer Füllung aus Käse_ meist Hüttenkäse oder Ricotta_ gefüllt sind. Der Teig wird zu einer Rolle oder kleinen Portionen geformt und dann entweder gekocht oder gebacken. In der gebackenen Variante wird der Teig oft mit Sauerrahm und Butter überzogen_ was ihm eine besonders reichhaltige und cremige Textur verleiht. Štrukli ist besonders in Nordkroatien beliebt_ insbesondere in der Region Zagreb. Es wird oft als Hauptgericht oder als Beilage serviert und ist bekannt für seine zarte_ käsegefüllte Füllung und die knusprige_ goldbraune Oberfläche.
112	Kubanische Beef Buns	Cuban Beef Buns	88	gedampft	mit Fleisch	Pur	na	na	https://www.silkroaddiary.com/steamed-cuban-beef-buns-chicken-stock/	Steamed Cuban Beef Buns sind weiche_ gedämpfte Teigtaschen_ die mit einer würzigen Füllung aus Rinderhackfleisch und Gewürzen wie Knoblauch_ Zwiebeln_ Kreuzkümmel und Paprika gefüllt sind. Der Teig ist leicht und flauschig und wird durch Dampfen zubereitet_ wodurch die Buns eine zarte Textur erhalten. Diese köstlichen Buns sind ein beliebtes Street Food in Kuba und werden oft als Snack oder leichtes Mittagessen genossen. Die Kombination aus dem saftigen Fleisch und dem weichen Teig macht Steamed Cuban Beef Buns zu einem herzhaften und geschmackvollen Gericht_ das in vielen kubanischen Haushalten und Restaurants serviert wird.
113	Mutabbaq	مطبق	89	gebraten	Füllung ist süß oder herzhaft	mit Zitrone	na	na	https://www.arlafoods.de/rezepte/mutabbaq/	Mutabbaq aus Kuwait ist ein herzhaftes Gericht_ das aus einem dünnen_ knusprigen Teig besteht_ der mit einer würzigen Füllung aus Hackfleisch_ Zwiebeln_ Eiern und Gewürzen wie Kreuzkümmel und Zimt gefüllt wird. Der Teig wird in einer Pfanne gebraten_ wodurch er eine goldbraune und knusprige Oberfläche erhält_ während die Füllung saftig bleibt. Mutabbaq ist besonders beliebt als Street Food und wird häufig als Snack oder schnelles Mittagessen serviert. Es ist ein köstliches_ sättigendes Gericht_ das sowohl in Kuwait als auch in anderen Teilen der Golfregion sehr geschätzt wird.
114	Galabao	ກາລາບາວ	90	gedäpft	mit Fleischfüllung	Pur	na	na	https://www.saengskitchen.com/laorecipes/galabao	Galabao aus Laos ist ein traditionelles_ süßes Gebäck_ das aus einem weichen Teig besteht_ der mit einer Füllung aus Kokosnuss und Zucker gefüllt ist. Der Teig wird in kleine Kugeln geformt und dann leicht gedämpft oder gebacken_ bis er eine zarte_ fluffige Textur erreicht. Galabao wird oft als Snack oder Dessert serviert und ist in Laos besonders während Festen und besonderen Anlässen beliebt. Das Gebäck zeichnet sich durch seine süße_ kokosnussige Füllung und die weiche_ saftige Konsistenz aus.
115	na	na	91	na	na	na	na	na	na	na
116	Bacon Dumplings	Speķa pīrāgi 	92	gebacken	mit Speck	mit Bier	na	na	https://www.chainbaker.com/latvian-dumplings/	Speķa pīrāgi sind traditionelle lettische Speckteigtaschen_ die aus einem zarten Hefeteig bestehen_ der mit einer Füllung aus gewürztem Speck und Zwiebeln gefüllt ist. Die Teigtaschen werden zu kleinen_ handlichen Päckchen geformt und dann gebacken_ bis sie goldbraun und knusprig sind. Speķa pīrāgi sind in Lettland sehr beliebt und werden oft zu festlichen Anlässen oder als Snack serviert. Sie zeichnen sich durch ihre herzhafte_ würzige Füllung und die weiche_ aber knusprige Teighülle aus und sind ein fester Bestandteil der lettischen Küche.
117	Shish Barak aus dem Libanon	شُشْبَرَك	93	gebacken_ gekocht	mit Lammfleisch	Joghurtsoße	na	na	https://food52.com/recipes/66975-shish-barak-lebanese-lamb-dumplings-in-yogurt-sauce?srsltid=AfmBOopiqQXmVlynAG_aP0-obl7aJb-NUb3ZJZqQOi51SiEurrl27F-f	Shish Barak aus dem Libanon sind kleine_ gefüllte Teigtaschen_ die mit einer würzigen Mischung aus Hackfleisch_ Zwiebeln und Gewürzen gefüllt sind. Der Teig wird dünn ausgerollt_ und die Füllung wird in kleinen Portionen darauf gegeben_ bevor die Teigtaschen zusammengeklappt und versiegelt werden. Die Shish Barak werden dann in einer Joghurtbrühe gekocht_ was ihnen eine cremige und leicht säuerliche Textur verleiht. Dieses Gericht ist ein beliebtes Hausmannsgericht im Libanon und wird oft zu besonderen Anlässen oder als festliches Mahl serviert. Die Kombination aus dem saftigen Fleisch und der cremigen Brühe macht Shish Barak zu einem herzhaften_ aromatischen Genuss.
118	Meat pies	Liberian Meat Pies	94	gebacken	na	Pur	na	na	https://www.africanbites.com/african-meat-pie-beef-empanada/	Liberian Meat Pies sind herzhafte Teigtaschen_ die mit einer würzigen Füllung aus Hackfleisch_ Zwiebeln und Gewürzen gefüllt sind. Der Teig ist zart und wird zu kleinen Taschen geformt_ die entweder gebacken oder frittiert werden_ bis sie goldbraun und knusprig sind. Diese köstlichen Teigtaschen sind ein beliebter Snack oder eine Mahlzeit in Liberia und werden oft bei besonderen Anlässen oder als Straßenessen serviert. Sie bieten eine leckere Kombination aus einem knusprigen Teig und einer saftigen_ gewürzten Fleischfüllung.
119	Bazin	بازين	95	gekocht	mit Tomatensoße	Pur	na	na	https://www.tasteofbeirut.com/bazin-libya/	Bazin aus Libyen ist ein traditionelles Gericht_ das aus einem einfachen Teig aus Weizenmehl und Wasser besteht_ der zu einer dicken_ festeren Masse geknetet und dann gedämpft wird. Das Gericht wird oft als Beilage zu Eintöpfen oder Fleischgerichten serviert und hat eine weiche_ aber kompakte Textur. Bazin wird häufig mit einer würzigen Tomatensauce oder einer Mischung aus Fleisch und Gemüse kombiniert_ was ihm einen intensiven Geschmack verleiht. Es ist ein fester Bestandteil der libyschen Küche und wird oft bei festlichen Anlässen oder als herzhaftes Hauptgericht genossen.
120	na	na	96	na	na	na	na	na	na	na
121	Kibinai	Qıbınlar	97	gebacken	na	Pur	na	na	http://www.skoniukelias.lt/de/gerichte/kibinai/	Ein Kibinas ist eine Hefeteigtasche mit Füllung aus zerkleinertem Lamm- oder Rindfleisch – es wird mit heißer natürlicher Bouillon_ Tee oder Brotkwas gegessen. Dieses Gericht wurde dank dem Großfürsten Vytautas in Litauen beliebt. Diese Teigtaschen stießen sowohl bei ihm als auch bei seinen Untergebenen auf Gefallen und wurden ein ständiges Gericht auf der Fürstentafel. Sie sind etwas Besonderes – sehr schmackhaft_ knusprig_ saftig und sehr sättigend! Selbst wenn sie abgekühlt sind_ verlieren die Kibinai ihren herrlichen Geschmack nicht.
122	Kniddelen	Lëtzebuerger Kniddelen	98	gebraten	mit Speck	mit Apfelmus	na	na	https://luxembourg.public.lu/de/gesellschaft-und-kultur/zu-tisch/kniddelen-luxembourgish-dumplings.html	Kniddelen aus Luxemburg sind weiche_ dicke Teigtaschen aus einem einfachen Teig_ der aus Mehl_ Eiern und Wasser besteht. Der Teig wird zu kleinen Klößen geformt und in Salzwasser gekocht_ bis sie zart und leicht sind. Kniddelen werden oft mit einer würzigen Specksoße oder in Butter angebraten und sind ein beliebtes Gericht in der luxemburgischen Küche. Sie können als Hauptgericht oder Beilage zu Fleischgerichten serviert werden und sind besonders in der kalten Jahreszeit ein herzhaftes_ sättigendes Gericht.
123	Coconut and cassava dumplings	Coconut and cassava dumplings	99	fritiert	na	mit Puderzucker	na	na	https://african-counter.com/food/coconut-and-cassava-dumplings-madagascar/	Coconut and Cassava Dumplings aus Madagaskar sind köstliche Teigtaschen_ die aus einer Mischung von Maniok (Cassava) und Kokosnuss bestehen. Der Teig wird zu kleinen Klößen geformt und entweder gedämpft oder gekocht_ bis er weich und zart ist. Die Kombination aus der erdigen Textur des Manioks und der natürlichen Süße der Kokosnuss verleiht diesen Dumplings einen einzigartigen Geschmack. Sie werden oft als Snack oder Beilage zu anderen traditionellen madagassischen Gerichten serviert und sind besonders für ihre einfachen Zutaten und den natürlichen_ authentischen Geschmack bekannt.
124	Champunga Mkati	Champunga Mkati	100	frittiert	na	mit Salat	na	na	https://orantcharitiesafrica.org/unwrapping-the-flavours-of-malawi-champunga-mkati-recipe/	Champunga Mkati ist ein traditionelles Gericht aus Malawi_ das aus köstlichen Teigtaschen besteht. Der Teig wird aus Maismehl und Wasser hergestellt und zu kleinen Klößen geformt_ die dann in heißem Öl frittiert werden. Die knusprige Außenschicht umhüllt das weiche Innere_ was diesen Snack besonders beliebt macht. Champunga Mkati wird oft als Street Food oder Snack zu verschiedenen Mahlzeiten serviert und ist in Malawi weit verbreitet. Die einfache Zubereitung und der herzhaft-süße Geschmack machen es zu einem beliebten Leckerbissen in der malawischen Küche.
